Date,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_Return,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Volume,GOOG_Return,META_Open,META_High,META_Low,META_Close,META_Volume,META_Return,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Volume,TSLA_Return
2022/6/9,119.99,121.3,116.1,116.15,67029842.000000,-0.032003,115.1215,117.13,113.647,113.698,1157080,-0.012365,190.705,195.875,180.105,180.425,23501579.000000,-0.053905,249.34,255.5467,239.3267,239.7067,32163769.000000,-0.038635
2022/6/10,113.42,114.5,109.05,109.65,87412245.000000,-0.033239,111.5615,112.277,109.641,110.2075,1567487,-0.012137,179.465,179.525,171.445,171.995,27478354.000000,-0.041624,235.1567,239.5,227.9133,232.23,32696966.000000,-0.012446
2022/6/13,104.19,106.54,101.86,103.67,99277742.000000,-0.004991,106.226,107.9985,105.368,105.6565,1837810,-0.005361,167.015,169.005,160.455,160.685,31749304.000000,-0.037901,223.1667,226.6333,214.6833,215.7367,34255754.000000,-0.033293
2022/6/14,104.19,104.88,101.43,102.31,69728761.000000,-0.018044,105.67,107.2375,105.132,105.974,1274047,0.002877,162.455,163.175,157.785,160.155,27244274.000000,-0.014158,218.2867,226.33,211.7367,220.89,32662932.000000,0.011926
2022/6/15,103.86,109.06,103.53,107.67,85011060.000000,0.036684,107.6795,110.843,106.899,109.1705,1659601,0.013847,163.625,168.585,160.405,165.775,30008251.000000,0.01314,220.9167,235.6633,218.15,233,39710645.000000,0.054696
2022/6/16,104.47,104.58,102.01,103.66,82186301.000000,-0.007753,106.9295,108.0705,104.5725,105.416,1765662,-0.014154,160.145,161.505,156.035,157.295,26944143.000000,-0.017796,222.7367,225.1667,208.6933,213.1,35796900.000000,-0.043265
2022/6/17,102.8,106.98,102.51,106.22,99772147.000000,0.033268,105.315,108.0295,104.4085,106.6455,2175833,0.012634,158.105,162.325,156.325,160.165,31374215.000000,0.013029,213.4333,220.97,213.1967,216.76,30880590.000000,0.015587
2022/6/21,108.2,111.63,103.56,108.68,70901245.000000,0.004436,108.482,111.453,108.0735,110.795,1950514,0.021322,162.355,164.185,152.395,153.475,50724899.000000,-0.054695,224.6033,243.5767,224.3333,237.0367,40930985.000000,0.055357
2022/6/22,107.43,112.13,107.02,108.95,60040131.000000,0.014149,109.943,112.5495,109.5045,110.814,1196086,0.007922,154.805,157.215,151.865,152.275,47596820.000000,-0.016343,234.5033,246.8333,233.8267,236.0867,33842420.000000,0.006752
2022/6/23,110.39,113,107.93,112.44,64345300.000000,0.018571,111.73,111.9765,109.809,111.4645,1235486,-0.002376,152.695,156.175,150.675,155.175,40499198.000000,0.016242,237.9067,239.3167,228.6367,235.07,34734226.000000,-0.011924
2022/6/24,112.38,116.71,111.43,116.46,69867618.000000,0.036305,112.383,117.4175,112.383,117.318,1956138,0.043912,158.145,166.675,157.725,166.585,68736009.000000,0.053369,237.47,246.0667,236.0867,245.7067,31923565.000000,0.034685
2022/6/27,117.09,117.98,112.7,113.22,62133240.000000,-0.033051,117.715,118.03,114.781,115.4025,1641965,-0.019645,167.745,168.175,164.435,165.915,29174559.000000,-0.010909,249.3667,252.07,242.5667,244.92,29726104.000000,-0.017832
2022/6/28,113.5,114.85,107.04,107.4,75172028.000000,-0.053744,115.131,116.6365,111.224,111.3515,1415811,-0.032828,166.325,167.725,157.035,157.105,27788725.000000,-0.055434,244.4833,249.97,232.3433,232.6633,30222167.000000,-0.048347
2022/6/29,107.38,110.99,106.91,108.92,66375341.000000,0.014342,110.9285,112.4445,110.334,111.0365,931393,0.000974,159.995,162.755,156.745,160.365,28595236.000000,0.002313,230.5,231.1733,222.2733,228.49,27632418.000000,-0.00872
2022/6/30,108.11,108.18,102.52,106.21,97679401.000000,-0.017575,109.2795,110.11,106.09,108.1525,1902302,-0.010313,158.575,161.655,154.915,157.675,35250605.000000,-0.005676,224.51,229.4567,218.8633,224.4733,31533484.000000,-0.000163
2022/7/1,106.29,109.75,105.85,109.56,73021171.000000,0.030765,107.117,108.5865,105.885,107.861,1551394,0.006946,156.735,157.045,151.425,156.455,31423933.000000,-0.001786,227,230.23,222.12,227.2633,24820148.000000,0.00116
2022/7/5,107.6,114.08,106.32,113.5,76684414.000000,0.054833,106.2945,112.8325,105.0295,112.667,1821469,0.059951,154.565,164.675,153.445,164.615,28664799.000000,0.065021,223,233.1467,216.1667,233.0667,28259704.000000,0.045142
2022/7/6,113.21,115.48,112.01,114.33,66958884.000000,0.009893,112.872,115.132,111.0305,113.9935,1442634,0.009936,164.625,168.015,161.885,166.195,23085921.000000,0.009537,230.78,234.5633,227.1867,231.7333,23951210.000000,0.004131
2022/7/7,113.85,116.99,113.49,116.33,57872323.000000,0.021783,114.788,118.642,114.314,118.086,1609197,0.028731,165.875,169.145,164.205,168.615,24083368.000000,0.016518,233.92,245.3633,232.21,244.5433,27310230.000000,0.045414
2022/7/8,114.6,116.58,113.69,115.54,45719694.000000,0.008202,116.33,119.215,116.294,118.9485,1454110,0.022509,166.405,168.825,164.575,167.305,19249243.000000,0.005408,242.3333,254.98,241.16,250.7633,33951362.000000,0.034787
2022/7/11,114.08,114.3,110.87,111.75,53540019.000000,-0.020424,117.43,117.5745,115.0145,115.3025,1341523,-0.018117,163.495,163.915,158.335,159.305,21905133.000000,-0.025628,252.1033,253.0633,233.6267,234.3433,33169740.000000,-0.070447
2022/7/12,112.16,113.23,108.34,109.22,54280257.000000,-0.026213,115.6185,116.6295,113.395,113.6295,1248508,-0.017203,161.225,162.335,158.525,159.695,16639659.000000,-0.00949,236.8467,239.7733,228.37,233.07,29310320.000000,-0.015946
2022/7/13,107.03,111.78,106.01,110.4,61353812.000000,0.031486,111.419,113.937,110.603,110.967,1947943,-0.004057,156.585,161.405,156.035,159.915,16555138.000000,0.021266,225.5,242.06,225.0333,237.04,32651499.000000,0.051175
2022/7/14,110.24,111.18,107.58,110.63,51163140.000000,0.003538,109.606,110.7675,108.1055,110.22,1618277,0.005602,157.645,159.015,153.705,154.475,23765168.000000,-0.020108,234.8967,238.6533,229.3333,238.3133,26185833.000000,0.014545
2022/7/15,112.5,115.59,111.59,113.55,84317816.000000,0.009333,111.743,112.7805,110.6025,111.547,1716538,-0.001754,156.965,161.405,156.245,161.125,23342807.000000,0.026503,240,243.6233,236.89,240.0667,23227673.000000,0.000278
