Date,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_Return,JPM_Open,JPM_High,JPM_Low,JPM_Close,JPM_Volume,JPM_Return,BAC_Open,BAC_High,BAC_Low,BAC_Close,BAC_Volume,BAC_Return,XOM_Open,XOM_High,XOM_Low,XOM_Close,XOM_Volume,XOM_Return
2001-01-02,-0.200300,-0.200100,-0.201400,-0.201400,7270200.000000,0.005492,5.340000,5.530000,4.030000,4.720000,7803200.000000,-0.116105,-10.270000,-9.910000,-10.350000,-9.910000,7021200.000000,-0.035054,-37.965000,-37.290000,-38.010000,-37.355000,13045800.000000,-0.016067
2001-01-03,-0.201700,-0.198000,-0.201900,-0.198200,22759200.000000,-0.017353,4.160000,11.600000,3.910000,11.340000,21303200.000000,1.725962,-9.990000,-9.100000,-10.160000,-9.115000,20566800.000000,-0.087588,-37.355000,-37.195000,-38.325000,-38.325000,20762200.000000,0.025967
2001-01-04,-0.198400,-0.196200,-0.198800,-0.196600,20386200.000000,-0.009073,12.220000,14.720000,11.220000,12.720000,26409800.000000,0.040917,-9.145000,-8.680000,-9.255000,-8.725000,22259200.000000,-0.045927,-38.230000,-38.195000,-39.150000,-38.915000,24495600.000000,0.017918
2001-01-05,-0.196700,-0.196700,-0.199200,-0.198900,10819200.000000,0.011185,11.470000,12.220000,9.030000,9.660000,16215700.000000,-0.157803,-9.115000,-9.100000,-9.895000,-9.600000,30578400.000000,0.053209,-38.915000,-38.370000,-38.930000,-38.825000,18775600.000000,-0.002313
2001-01-08,-0.199200,-0.197100,-0.199200,-0.197600,14344200.000000,-0.008032,9.720000,10.840000,9.030000,9.970000,9938300.000000,0.025720,-9.820000,-9.540000,-10.020000,-9.540000,11865600.000000,-0.028513,-38.760000,-38.590000,-38.945000,-38.915000,11056600.000000,0.003999
2001-01-09,-0.197400,-0.197100,-0.198100,-0.197400,7572600.000000,-0.000000,10.600000,10.720000,8.600000,9.410000,7285100.000000,-0.112264,-9.600000,-9.410000,-9.945000,-9.850000,11454600.000000,0.026042,-38.980000,-38.980000,-39.275000,-39.135000,11501400.000000,0.003976
2001-01-10,-0.198100,-0.196300,-0.198400,-0.196400,9823200.000000,-0.008582,10.220000,12.410000,9.660000,11.660000,10857000.000000,0.140900,-9.910000,-9.410000,-9.960000,-9.460000,14501000.000000,-0.045409,-39.075000,-39.025000,-39.525000,-39.385000,20512200.000000,0.007933
2001-01-11,-0.196700,-0.194400,-0.197000,-0.195100,11191200.000000,-0.008134,11.840000,15.220000,11.840000,14.840000,16077700.000000,0.253378,-9.430000,-9.210000,-9.570000,-9.240000,14693200.000000,-0.020148,-39.230000,-38.915000,-39.290000,-39.195000,10962000.000000,-0.000892
2001-01-12,-0.194800,-0.193800,-0.195600,-0.195400,16725000.000000,0.003080,14.720000,14.780000,13.100000,14.030000,8946800.000000,-0.046875,-9.240000,-9.240000,-9.570000,-9.335000,8350600.000000,0.010281,-39.195000,-38.885000,-39.400000,-38.930000,11886200.000000,-0.006761
2001-01-16,-0.195300,-0.195300,-0.196900,-0.196700,10374600.000000,0.007168,14.220000,15.410000,13.220000,13.910000,10508500.000000,-0.021800,-9.540000,-8.770000,-9.695000,-8.865000,21287800.000000,-0.070755,-39.165000,-39.025000,-39.495000,-39.180000,15585000.000000,0.000383
2001-01-17,-0.195600,-0.195100,-0.196200,-0.196200,14814600.000000,0.003067,13.660000,14.780000,12.840000,13.720000,10317300.000000,0.004392,-8.865000,-8.865000,-9.270000,-9.210000,16560800.000000,0.038917,-39.370000,-39.275000,-39.730000,-39.575000,14482800.000000,0.005207
2001-01-18,-0.196200,-0.192700,-0.196500,-0.193200,23704200.000000,-0.015291,12.220000,12.600000,11.280000,12.160000,13565600.000000,-0.004910,-9.225000,-9.195000,-9.540000,-9.365000,11780000.000000,0.015176,-39.495000,-39.480000,-39.885000,-39.855000,17176400.000000,0.009115
2001-01-19,-0.192600,-0.192000,-0.193900,-0.193700,25467600.000000,0.005711,11.470000,12.410000,10.530000,11.280000,10789100.000000,-0.016565,-9.225000,-9.115000,-9.520000,-9.305000,11225800.000000,0.008672,-39.915000,-39.665000,-39.965000,-39.775000,20242600.000000,-0.003507
2001-01-22,-0.194200,-0.193500,-0.194900,-0.194400,9442800.000000,0.001030,11.280000,12.910000,10.780000,11.600000,10581500.000000,0.028369,-9.160000,-8.880000,-9.290000,-9.005000,8684000.000000,-0.016921,-39.695000,-39.480000,-39.825000,-39.575000,13857600.000000,-0.003023
2001-01-23,-0.194600,-0.192300,-0.194700,-0.192600,10840800.000000,-0.010277,10.840000,12.780000,10.840000,12.410000,8794600.000000,0.144834,-9.160000,-8.930000,-9.210000,-9.005000,8757400.000000,-0.016921,-39.510000,-39.150000,-39.605000,-39.180000,11131600.000000,-0.008352
2001-01-24,-0.192700,-0.192500,-0.193800,-0.192700,11293200.000000,-0.000000,13.410000,14.220000,12.970000,13.970000,9316500.000000,0.041760,-9.100000,-8.770000,-9.255000,-8.835000,11042200.000000,-0.029121,-39.075000,-39.010000,-39.385000,-39.230000,12849400.000000,0.003967
2001-01-25,-0.193500,-0.193300,-0.195000,-0.194600,11000400.000000,0.005685,13.720000,14.600000,12.470000,13.780000,8347100.000000,0.004373,-8.820000,-8.505000,-9.020000,-8.725000,8711400.000000,-0.010771,-39.055000,-38.930000,-39.135000,-39.010000,13593600.000000,-0.001152
2001-01-26,-0.195600,-0.193900,-0.195700,-0.194100,6481200.000000,-0.007669,14.160000,15.220000,13.470000,14.910000,7967800.000000,0.052966,-8.790000,-8.145000,-8.790000,-8.305000,11745400.000000,-0.055176,-39.010000,-38.995000,-39.465000,-39.385000,11859400.000000,0.009613
2001-01-29,-0.194600,-0.194000,-0.195200,-0.194000,8854200.000000,-0.003083,14.910000,16.620000,14.900000,15.840000,9494400.000000,0.062374,-8.100000,-7.995000,-8.425000,-8.095000,13714000.000000,-0.000617,-39.625000,-39.335000,-39.715000,-39.585000,10492000.000000,-0.001009
2001-01-30,-0.193700,-0.193200,-0.194100,-0.193600,6093000.000000,-0.000516,15.820000,16.900000,15.350000,16.700000,9452800.000000,0.055626,-8.050000,-7.615000,-8.225000,-7.730000,15187000.000000,-0.039752,-39.260000,-39.025000,-39.585000,-39.140000,9596400.000000,-0.003057
2001-01-31,-0.193600,-0.192900,-0.194200,-0.193800,8958600.000000,0.001033,17.210000,18.050000,15.220000,15.710000,13130800.000000,-0.087159,-7.775000,-7.615000,-8.145000,-8.145000,15905800.000000,0.047588,-38.945000,-38.540000,-38.945000,-38.595000,17014800.000000,-0.008987
2001-02-01,-0.193800,-0.193600,-0.194600,-0.193700,9296400.000000,-0.000516,15.710000,16.570000,14.230000,16.570000,9174100.000000,0.054742,-8.125000,-7.880000,-8.575000,-8.280000,12553800.000000,0.019077,-38.595000,-38.595000,-38.935000,-38.765000,9115800.000000,0.004405
2001-02-02,-0.193700,-0.193300,-0.195600,-0.195500,8013000.000000,0.009293,15.720000,16.050000,15.020000,15.360000,7075200.000000,-0.022901,-8.200000,-8.110000,-8.245000,-8.200000,9311200.000000,-0.000000,-38.685000,-38.510000,-38.910000,-38.885000,10395600.000000,0.005170
2001-02-05,-0.195500,-0.195400,-0.196500,-0.195500,9189600.000000,-0.000000,15.230000,15.670000,14.420000,15.320000,5273700.000000,0.005909,-8.200000,-8.040000,-8.375000,-8.285000,9242400.000000,0.010366,-38.825000,-38.360000,-38.825000,-38.435000,10696600.000000,-0.010045
2001-02-06,-0.195800,-0.195100,-0.195800,-0.195400,6261000.000000,-0.002043,14.730000,15.180000,12.720000,13.000000,7560200.000000,-0.117447,-8.600000,-8.440000,-8.985000,-8.860000,13367200.000000,0.030233,-38.395000,-38.395000,-38.735000,-38.550000,10952400.000000,0.004037
2001-02-07,-0.195500,-0.195400,-0.197000,-0.196200,18009600.000000,0.003581,13.070000,14.220000,12.600000,13.050000,7988800.000000,-0.001530,-8.860000,-8.840000,-9.390000,-9.225000,14626600.000000,0.041196,-38.290000,-38.125000,-38.465000,-38.325000,11578800.000000,0.000914
2001-02-08,-0.196100,-0.195200,-0.196300,-0.196200,9607200.000000,0.000510,13.050000,13.770000,12.250000,12.400000,5730800.000000,-0.049808,-9.100000,-9.100000,-9.460000,-9.410000,11619600.000000,0.034066,-38.005000,-37.845000,-38.195000,-38.070000,9898000.000000,0.001710
2001-02-09,-0.196400,-0.196300,-0.196900,-0.196400,6490200.000000,-0.000000,12.410000,13.320000,11.770000,12.670000,5490500.000000,0.020951,-9.325000,-9.140000,-9.410000,-9.225000,10775800.000000,-0.010724,-38.005000,-37.535000,-38.005000,-37.730000,10711800.000000,-0.007236
2001-02-12,-0.196500,-0.196400,-0.197500,-0.196800,8858400.000000,0.001527,13.190000,13.820000,13.130000,13.270000,5246300.000000,0.006065,-9.160000,-9.020000,-9.175000,-9.085000,8587800.000000,-0.008188,-37.730000,-37.635000,-37.855000,-37.755000,8280600.000000,0.000663
2001-02-13,-0.196500,-0.195600,-0.196700,-0.196300,11693400.000000,-0.001018,13.260000,14.420000,11.820000,11.860000,7334700.000000,-0.105581,-8.960000,-8.730000,-9.065000,-9.040000,9626000.000000,0.008929,-37.955000,-37.855000,-38.095000,-37.995000,9296600.000000,0.001054
2001-02-14,-0.196500,-0.194800,-0.197200,-0.195200,17272200.000000,-0.006616,12.470000,12.600000,11.620000,11.910000,6835100.000000,-0.044908,-9.040000,-8.810000,-9.050000,-8.900000,8626000.000000,-0.015487,-38.205000,-37.955000,-38.320000,-38.215000,13473800.000000,0.000262
2001-02-15,-0.192900,-0.191800,-0.193000,-0.192100,27712800.000000,-0.004147,12.100000,13.470000,11.620000,11.830000,7408400.000000,-0.022314,-8.875000,-8.640000,-9.010000,-8.880000,10574800.000000,0.000563,-38.395000,-38.345000,-38.805000,-38.570000,12625000.000000,0.004558
2001-02-16,-0.193100,-0.190600,-0.193200,-0.191100,27029400.000000,-0.010357,11.120000,12.720000,10.970000,12.710000,7364800.000000,0.142986,-8.815000,-8.620000,-8.935000,-8.750000,8758000.000000,-0.007374,-38.395000,-38.010000,-38.445000,-38.190000,12491800.000000,-0.005339
2001-02-20,-0.191600,-0.191200,-0.193200,-0.193100,17532600.000000,0.007829,12.710000,13.320000,10.350000,10.670000,9073500.000000,-0.160504,-8.825000,-8.790000,-9.380000,-9.320000,11386600.000000,0.056091,-38.295000,-38.095000,-38.535000,-38.245000,7720200.000000,-0.001306
2001-02-21,-0.193800,-0.191500,-0.194000,-0.192300,16162800.000000,-0.007740,9.670000,10.820000,7.730000,8.070000,9835100.000000,-0.165460,-9.350000,-9.140000,-9.680000,-9.660000,13770400.000000,0.033155,-37.995000,-37.895000,-38.320000,-38.315000,8518200.000000,0.008422
2001-02-22,-0.192400,-0.190900,-0.193000,-0.191500,20382600.000000,-0.004678,8.470000,9.020000,6.110000,9.020000,12409800.000000,0.064935,-9.790000,-9.530000,-10.190000,-9.540000,14869600.000000,-0.025536,-38.195000,-38.070000,-38.320000,-38.145000,9963400.000000,-0.001309
2001-02-23,-0.191600,-0.191200,-0.193500,-0.192900,25866600.000000,0.006785,7.770000,8.970000,6.920000,7.770000,9708100.000000,0.000000,-9.640000,-9.110000,-9.840000,-9.315000,9874800.000000,-0.033714,-38.195000,-38.145000,-38.505000,-38.320000,10152600.000000,0.003273
2001-02-26,-0.193400,-0.192900,-0.194100,-0.193300,18795600.000000,-0.000517,8.720000,10.020000,7.530000,9.270000,8783500.000000,0.063073,-9.320000,-8.725000,-9.600000,-8.855000,12056400.000000,-0.049893,-38.485000,-38.195000,-38.535000,-38.245000,9492200.000000,-0.006236
2001-02-27,-0.193700,-0.193000,-0.194500,-0.194400,13345800.000000,0.003614,9.670000,10.500000,7.570000,8.320000,11744300.000000,-0.139607,-8.860000,-8.520000,-9.120000,-8.740000,12820200.000000,-0.013544,-38.220000,-38.170000,-38.720000,-38.620000,13882800.000000,0.010466
2001-02-28,-0.194500,-0.193500,-0.196500,-0.196200,19601400.000000,0.008740,8.610000,8.720000,6.020000,7.380000,10510600.000000,-0.142857,-8.510000,-8.495000,-9.130000,-8.645000,12699600.000000,0.015864,-38.570000,-38.455000,-38.970000,-38.935000,11515400.000000,0.009463
2001-03-01,-0.196400,-0.194700,-0.197900,-0.195000,22882200.000000,-0.007128,6.320000,6.970000,5.500000,6.830000,10551800.000000,0.080696,-9.110000,-8.895000,-9.430000,-8.985000,13457400.000000,-0.013721,-38.995000,-38.570000,-39.005000,-38.845000,12507000.000000,-0.003847
2001-03-02,-0.196200,-0.195100,-0.196800,-0.196600,35337600.000000,0.002039,6.320000,8.320000,5.910000,6.520000,7559700.000000,0.031646,-9.220000,-8.700000,-9.230000,-9.060000,11280400.000000,-0.017354,-38.520000,-38.225000,-38.650000,-38.395000,10093800.000000,-0.003245
2001-03-05,-0.197200,-0.196100,-0.197300,-0.196500,18557400.000000,-0.003550,6.620000,7.670000,6.020000,7.480000,5988200.000000,0.129909,-9.060000,-8.895000,-9.210000,-9.050000,8531400.000000,-0.001104,-38.455000,-38.095000,-38.475000,-38.235000,10015400.000000,-0.005721
2001-03-06,-0.195700,-0.194400,-0.196000,-0.195000,20860200.000000,-0.003577,8.970000,9.670000,8.220000,8.680000,6844500.000000,-0.032330,-8.770000,-8.580000,-8.910000,-8.755000,8971800.000000,-0.001710,-38.170000,-38.120000,-38.395000,-38.295000,9551400.000000,0.003275
