Date,INTC_Open,INTC_High,INTC_Low,INTC_Close,INTC_Volume,INTC_Return,IBM_Open,IBM_High,IBM_Low,IBM_Close,IBM_Volume,IBM_Return,NFLX_Open,NFLX_High,NFLX_Low,NFLX_Close,NFLX_Volume,NFLX_Return,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,QQQ_Return
2002-05-23,12.183500,12.333500,10.973500,11.923500,42332100.000000,-0.021340,-12.860000,-12.060000,-14.590000,-12.760000,6865600.000000,-0.007776,0.578600,0.621400,0.572900,0.598600,14548200.000000,0.034566,9.532100,10.002100,8.702100,9.932100,91649400.000000,0.041963
2002-05-24,11.323500,11.533500,10.933500,11.193500,26029600.000000,-0.011481,-13.460000,-13.360000,-14.490000,-14.010000,4122000.000000,0.040862,0.607100,0.612900,0.598600,0.605000,1578600.000000,-0.003459,9.492100,9.602100,8.912100,9.142100,54511800.000000,-0.036873
2002-05-28,11.093500,11.153500,10.203500,10.883500,42888200.000000,-0.018930,-14.310000,-14.000000,-15.420000,-15.030000,4552300.000000,0.050314,0.607100,0.615700,0.578600,0.578600,943800.000000,-0.046944,9.372100,9.432100,8.392100,9.002100,66024500.000000,-0.039479
2002-05-29,10.413500,10.523500,9.773500,9.803500,35346600.000000,-0.058578,-15.610000,-15.110000,-16.110000,-15.510000,4519500.000000,-0.006406,0.582100,0.582100,0.542900,0.551400,965400.000000,-0.052740,8.562100,8.722100,8.122100,8.182100,71231800.000000,-0.044382
2002-05-30,9.543500,10.243500,9.133500,9.953500,40982400.000000,0.042961,-16.510000,-14.860000,-16.890000,-14.860000,7374100.000000,-0.099939,0.554300,0.554300,0.535700,0.535700,1450600.000000,-0.033556,7.912100,8.622100,7.802100,8.442100,90600400.000000,0.066986
2002-05-31,10.463500,10.963500,9.943500,10.153500,38515500.000000,-0.029627,-15.060000,-15.060000,-16.710000,-16.660000,5126200.000000,0.106242,0.539300,0.539300,0.535700,0.538600,1209200.000000,-0.001298,8.662100,8.942100,7.902100,7.942100,77809500.000000,-0.083121
2002-06-03,9.963500,10.253500,8.973500,9.153500,34869600.000000,-0.081297,-16.360000,-16.200000,-19.110000,-19.000000,8383900.000000,0.161369,0.540000,0.574300,0.538600,0.564300,450200.000000,0.045000,7.912100,8.152100,6.692100,6.882100,75153300.000000,-0.130180
2002-06-04,8.763500,10.053500,8.753500,10.033500,49303700.000000,0.144919,-19.000000,-17.460000,-19.510000,-17.800000,7273300.000000,-0.063158,0.567900,0.570000,0.555700,0.558600,443600.000000,-0.016376,6.652100,7.582100,6.512100,7.262100,96961600.000000,0.091700
2002-06-05,10.133500,10.773500,9.423500,10.713500,41646700.000000,0.057236,-17.460000,-16.400000,-18.000000,-16.560000,7172100.000000,-0.051546,0.555700,0.580000,0.553600,0.573600,218800.000000,0.032212,7.322100,7.752100,6.872100,7.562100,92513300.000000,0.032777
2002-06-06,10.013500,10.113500,7.433500,9.533500,53854700.000000,-0.047935,-16.560000,-16.160000,-18.220000,-17.450000,5540900.000000,0.053744,0.575000,0.615700,0.574300,0.591400,329400.000000,0.028522,7.412100,7.422100,5.602100,6.782100,86824100.000000,-0.084996
2002-06-07,4.893500,5.283500,4.233500,4.533500,151697504.000000,-0.073567,-18.630000,-18.260000,-20.110000,-18.810000,9309400.000000,0.009662,0.588600,0.588600,0.551400,0.559300,195600.000000,-0.049779,5.532100,6.692100,5.422100,6.202100,5097600.000000,0.121111
2002-06-10,4.813500,4.823500,3.533500,3.603500,67962096.000000,-0.251376,-19.360000,-18.310000,-20.510000,-20.310000,7076000.000000,0.049070,0.567100,0.587100,0.567100,0.578600,69200.000000,0.020279,6.262100,6.652100,6.042100,6.152100,72254000.000000,-0.017566
2002-06-11,3.973500,4.743500,2.643500,2.753500,69932400.000000,-0.307034,-19.260000,-18.860000,-21.910000,-21.620000,7953400.000000,0.122534,0.578600,0.594300,0.564300,0.577100,143400.000000,-0.002592,6.502100,6.592100,5.262100,5.362100,82525100.000000,-0.175328
2002-06-12,2.643500,4.133500,2.533500,4.113500,76957400.000000,0.556081,-21.710000,-21.160000,-23.860000,-22.460000,13296100.000000,0.034546,0.577100,0.591400,0.545000,0.546400,257000.000000,-0.053197,5.152100,5.862100,4.732100,5.762100,50583200.000000,0.118398
2002-06-13,4.143500,4.503500,3.533500,3.643500,49372400.000000,-0.120671,-21.660000,-19.710000,-21.810000,-21.510000,8909700.000000,-0.006925,0.552100,0.561400,0.540000,0.541400,366800.000000,-0.019381,5.662100,6.112100,5.252100,5.582100,95295000.000000,-0.014129
2002-06-14,3.083500,3.913500,2.593500,3.813500,50410100.000000,0.236744,-22.910000,-20.340000,-23.860000,-20.940000,8592000.000000,-0.085989,0.541400,0.542900,0.490000,0.492900,683400.000000,-0.089583,4.762100,5.622100,4.102100,5.522100,20422400.000000,0.159593
2002-06-17,4.193500,5.153500,3.883500,5.093500,53044600.000000,0.214618,-20.930000,-19.360000,-21.950000,-19.970000,7775800.000000,-0.045867,0.507100,0.530000,0.458600,0.461400,693600.000000,-0.090120,5.902100,6.652100,5.812100,6.462100,85682100.000000,0.094881
2002-06-18,4.673500,5.523500,4.533500,4.553500,51943800.000000,-0.025677,-21.510000,-20.210000,-21.640000,-21.170000,7242000.000000,-0.015807,0.469300,0.470000,0.421400,0.455700,1544000.000000,-0.028979,6.222100,7.652100,6.142100,6.922100,80933400.000000,0.112502
2002-06-19,3.493500,3.743500,2.533500,2.623500,65481800.000000,-0.249034,-22.910000,-21.910000,-23.860000,-23.760000,9455400.000000,0.037102,0.455700,0.498600,0.446400,0.475700,783200.000000,0.043889,6.002100,6.222100,5.102100,5.242100,90947400.000000,-0.126622
2002-06-20,2.653500,3.133500,1.753500,1.773500,76656896.000000,-0.331637,-23.110000,-23.020000,-25.680000,-25.530000,11116900.000000,0.104717,0.485700,0.520000,0.475000,0.478600,873000.000000,-0.014618,5.172100,5.352100,3.572100,4.362100,98376200.000000,-0.156610
2002-06-21,1.653500,2.173500,0.933500,1.263500,80815296.000000,-0.235863,-27.110000,-26.120000,-28.920000,-28.360000,15544500.000000,0.046108,0.491400,0.494300,0.474300,0.490000,335200.000000,-0.002849,4.272100,4.682100,3.552100,3.722100,99467300.000000,-0.128742
2002-06-24,0.953500,2.493500,0.923500,1.863500,70345000.000000,0.954379,-29.860000,-25.620000,-29.860000,-27.410000,14687900.000000,-0.082050,0.490000,0.507100,0.478600,0.489300,366800.000000,-0.001429,3.362100,4.702100,3.112100,4.232100,37125500.000000,0.258767
2002-06-25,2.333500,2.513500,0.733500,0.853500,68249696.000000,-0.634240,-26.810000,-25.660000,-28.700000,-28.510000,8555100.000000,0.063409,0.494300,0.503600,0.473600,0.482100,563000.000000,-0.024681,4.482100,4.622100,2.352100,3.362100,32987300.000000,-0.249883
